CNN,the_geom,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg
13746000,"LINESTRING (-122.46584491055397 37.738493639687, -122.46474557803421 37.73788548012592, -122.46313558981997 37.73702335603207)",0,YERBA BUENA AVE,13.84,2.07,20.11,27.97,33.49
13704000,"LINESTRING (-122.44798149228923 37.784017710626465, -122.44935811267135 37.783691644169096)",0,WOOD ST,21.74,4.54,20.02,28.48,34.08
13705000,"LINESTRING (-122.44935811267135 37.783691644169096, -122.44907940477361 37.78231437417162)",0,WOOD ST,21.74,4.54,20.02,28.48,34.08
13715101,"LINESTRING (-122.45546673270553 37.74632798058652, -122.45537483789916 37.74634840873165, -122.45481490346566 37.74621680510058, -122.45472196206396 37.74617825570022, -122.45466409734844 37.746106168279304)",35,WOODSIDE AVE,29,6.5,32.8,38.21,42.38
13715201,"LINESTRING (-122.45546673270553 37.74632798058652, -122.45541318774173 37.746263602961875, -122.45485063896197 37.74612928249037, -122.4547690565747 37.74609941545255, -122.45466409734844 37.746106168279304)",35,WOODSIDE AVE,29,6.5,32.8,38.21,42.38
13608000,"LINESTRING (-122.42787939090178 37.742015444971685, -122.42765222204457 37.73966839921917)",0,WHITNEY ST,30.04,7.79,20.57,28.58,33.1
13466000,"LINESTRING (-122.46580699038532 37.74357405033044, -122.46672191799043 37.74142180223564, -122.4667147440057 37.74132372644302)",0,WAWONA ST,58.19,25,25.2,29.61,33.09
13467000,"LINESTRING (-122.4667147440057 37.74132372644302, -122.46670296679036 37.7411626962054, -122.4679969732144 37.74000565262412)",0,WAWONA ST,28,4.41,21.45,28.17,34.41
13485000,"LINESTRING (-122.48997093859626 37.73795698323059, -122.49036418758571 37.737929559266504)",0,WAWONA ST,11.43,0.82,19,27.36,32
13271000,"LINESTRING (-122.50221539514892 37.73814479608996, -122.50328834679024 37.73809779085532)",25,VICENTE ST,33.62,6.71,21.71,28.29,33.47
13250000,"LINESTRING (-122.48078675364746 37.739088755933615, -122.4818587389928 37.739041547005485)",25,VICENTE ST,13.14,0.43,21.13,27.24,34.32
13060000,"LINESTRING (-122.42188644602435 37.76491737813413, -122.42173152251404 37.76329976824433)",0,VALENCIA ST,10.36,1.43,17.6,27.88,33.35
13045000,"LINESTRING (-122.40533110376126 37.75306383196333, -122.40520770295953 37.7517869481256)",0,UTAH ST,30.86,4.1,21.72,27.78,32.87
12959000,"LINESTRING (-122.47237927964163 37.7268209001606, -122.47245295470996 37.72554991520805)",0,JUNIPERO SERRA BLVD,100,100,41.05,41.05,41.05
12960000,"LINESTRING (-122.47245295470996 37.72554991520805, -122.47243380509204 37.725443451083336, -122.47251958232155 37.725118965227324, -122.47257011396296 37.72481005789757)",0,JUNIPERO SERRA BLVD,100,100,41.05,41.05,41.05
12961000,"LINESTRING (-122.47257011396296 37.72481005789757, -122.47256738204028 37.72457493701859, -122.4725194014203 37.724029448233765, -122.4725227003748 37.723571080347064, -122.47255891465035 37.72299349109428)",0,JUNIPERO SERRA BLVD,100,100,41.05,41.05,41.05
12962000,"LINESTRING (-122.47255891465035 37.72299349109428, -122.47267104980284 37.722029391612104, -122.47263453432359 37.72156885866134)",0,JUNIPERO SERRA BLVD,100,100,41.05,41.05,41.05
12789000,"LINESTRING (-122.46856109909504 37.74150334575455, -122.46867168934638 37.74148773895514, -122.46903011416609 37.74147206091875)",0,ULLOA ST,53.5,13.5,25.18,28.36,32.37
12719000,"LINESTRING (-122.41405376455539 37.78279444601821, -122.4156938720626 37.78258503321158)",25,TURK ST,34,7,23.45,28.32,33.43
12727000,"LINESTRING (-122.42720275587806 37.78111712713572, -122.4273236168325 37.78111007298294, -122.43042441485773 37.78071557320852)",30,TURK ST,39,13,28.6,34.05,38.15
12731000,"LINESTRING (-122.4354245156999 37.780077637870676, -122.43707186507035 37.77986739581174)",30,TURK ST,55,14,30.2,33.55,38.07
12738000,"LINESTRING (-122.44369911016992 37.77903801878579, -122.44534674008537 37.778836632740585)",30,TURK BLVD,71.5,29,32.32,34.64,38.52
12744000,"LINESTRING (-122.44976707894695 37.77827700835063, -122.45065481247336 37.77816459877842)",30,TURK BLVD,27.5,8,27.55,33.82,38.25
12636000,"LINESTRING (-122.41347759696401 37.73706991116187, -122.41285757197613 37.73703468876026)",0,TOMPKINS AVE,0,0,12.68,0,0
12647000,"LINESTRING (-122.40095239441399 37.73526139504263, -122.39993559571471 37.734259793343085, -122.39964528995162 37.73406423771741, -122.39937988508176 37.733957716183355)",0,TOPEKA AVE,10.55,0.82,18.31,27.39,32
12554101,"LINESTRING (-122.3954052699615 37.79668289582593, -122.39555962034542 37.79668608699367, -122.39604021146992 37.79720080862575, -122.39668399724364 37.79794139897773, -122.3976973264045 37.79906891174478, -122.39766994898069 37.79923448263957)",30,THE EMBARCADERO,46,14.5,29.55,33.96,38.21
12554201,"LINESTRING (-122.3954052699615 37.79668289582593, -122.39536065765412 37.79685529593095, -122.3964235890529 37.79801322373603, -122.39747388266571 37.799198944243955, -122.39766994898069 37.79923448263957)",30,THE EMBARCADERO,46,14.5,29.55,33.96,38.21
12556102,"LINESTRING (-122.3991302425134 37.800896477147404, -122.39932434849686 37.800911294114655, -122.4019268456456 37.8038539347208, -122.40197342698973 37.804072250274515)",35,THE EMBARCADERO,20.5,6,31.15,38.95,43.67
12556202,"LINESTRING (-122.3991302425134 37.800896477147404, -122.39909993897693 37.80105066006546, -122.40173386361474 37.80397294057005, -122.40197342698973 37.804072250274515)",35,THE EMBARCADERO,20.5,6,31.15,38.95,43.67
12522000,"LINESTRING (-122.44212764839804 37.78152887542786, -122.44251012606782 37.78150466780478, -122.44297217999649 37.78146039765028)",0,TERRA VISTA AVE,25.72,5.42,20.86,28.23,32.83
12547101,"LINESTRING (-122.38830606804734 37.78179823552144, -122.38839525522097 37.781910111690856, -122.38838141443664 37.78213856483651, -122.38837481172747 37.782480149826505, -122.38820828007321 37.784631238170434, -122.38802334377449 37.78477361420571)",30,THE EMBARCADERO,62.5,19,31.22,34.1,38.92
12547201,"LINESTRING (-122.38830606804734 37.78179823552144, -122.38809638113983 37.78191181894753, -122.38807505448348 37.782111737122925, -122.38806926964108 37.782525076908264, -122.38802420999593 37.78304315778379, -122.38796611188339 37.783507242430694, -122.38789340337121 37.7846147236192, -122.38802334377449 37.78477361420571)",30,THE EMBARCADERO,62.5,19,31.22,34.1,38.92
12549101,"LINESTRING (-122.38779488958166 37.787097239285806, -122.38798369717358 37.78718728580906, -122.38796705980857 37.78754912454939, -122.38799331456525 37.78792691461557, -122.38807225377619 37.78820085543927, -122.38820645474166 37.788755839161695, -122.38837956828662 37.789104392292415, -122.38851961442104 37.78937224614184, -122.38848118729011 37.78957191885586)",30,THE EMBARCADERO,57.5,18.5,30.72,33.9,37.89
12549201,"LINESTRING (-122.38779488958166 37.787097239285806, -122.38766964888096 37.78717474782541, -122.387661928023 37.78730661829768, -122.38772293446469 37.78803517837914, -122.38773793705595 37.78826047019397, -122.38786793313065 37.788724663592184, -122.38793014666516 37.78890739687784, -122.38803176666133 37.789129739977305, -122.3882913028871 37.7895383915937, -122.38848118729011 37.78957191885586)",30,THE EMBARCADERO,57.5,18.5,30.72,33.9,37.89
12485000,"LINESTRING (-122.38948581265235 37.76043527764679, -122.38924822367007 37.75788366360378)",0,TENNESSEE ST,22.66,6.1,19.31,28.99,34.39
12498000,"LINESTRING (-122.4522688559932 37.745173812019665, -122.45162570400673 37.74450281349253)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12499000,"LINESTRING (-122.45162570400673 37.74450281349253, -122.45145133069904 37.74432088737469, -122.45135524836853 37.74416154164096, -122.45133501518909 37.74394322423569, -122.45146778342793 37.74368053986782, -122.45160664136384 37.74360999096882)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12500000,"LINESTRING (-122.45160664136384 37.74360999096882, -122.4509892102004 37.74296665707507)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12501000,"LINESTRING (-122.4509892102004 37.74296665707507, -122.45078446553254 37.742729931707956)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12502000,"LINESTRING (-122.45078446553254 37.742729931707956, -122.45070045180239 37.74246838554699, -122.45064408257028 37.74222305440437)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12503000,"LINESTRING (-122.45064408257028 37.74222305440437, -122.450603418264 37.741849751856584)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12504000,"LINESTRING (-122.450603418264 37.741849751856584, -122.4504232873609 37.741732940568646, -122.45007197029605 37.74156950989395, -122.44968025785779 37.741300553109035, -122.44941949436536 37.74108252542299, -122.449198466347 37.74082931197646)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12505000,"LINESTRING (-122.449198466347 37.74082931197646, -122.44898223410858 37.740541374709956)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12506000,"LINESTRING (-122.44898223410858 37.740541374709956, -122.44859185830616 37.7402611854546, -122.44822845145649 37.740035561865284, -122.44785152330839 37.739850696191425)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12507000,"LINESTRING (-122.44785152330839 37.739850696191425, -122.44697024829951 37.73962971997327)",25,TERESITA BLVD,40,5.5,33.62,37.75,42.45
12508000,"LINESTRING (-122.44697024829951 37.73962971997327, -122.44669223887199 37.73956032624343)",25,TERESITA BLVD,40,5.5,33.62,37.75,42.45
12509000,"LINESTRING (-122.44669223887199 37.73956032624343, -122.4463785345958 37.73932201479922, -122.4462276053627 37.73913051490765, -122.4462056032091 37.73908589982825)",25,TERESITA BLVD,40,5.5,33.62,37.75,42.45
12510000,"LINESTRING (-122.4462056032091 37.73908589982825, -122.44612356829096 37.73891217772076, -122.44611117759841 37.73872418515542, -122.44618229862371 37.738375561717014)",25,TERESITA BLVD,40,5.5,33.62,37.75,42.45
12511000,"LINESTRING (-122.44618229862371 37.738375561717014, -122.4465889880195 37.73758696665581)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12512000,"LINESTRING (-122.4465889880195 37.73758696665581, -122.44622663494327 37.737306591669)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12513000,"LINESTRING (-122.44622663494327 37.737306591669, -122.44583735855059 37.73698075083663, -122.44573164020366 37.73673799971181, -122.44574536347729 37.73650313557226, -122.44581836119823 37.73635010459543, -122.44595136378183 37.736211857600466, -122.44610223742107 37.73611666170248, -122.44625610745038 37.735991903662914, -122.44637943992188 37.73576903013637, -122.44640535677203 37.73560224050943)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12514000,"LINESTRING (-122.44640535677203 37.73560224050943, -122.44637764747782 37.735416116925364, -122.44629065136056 37.7352243224459)",25,TERESITA BLVD,44.67,19.31,22.77,29.79,33.46
12515000,"LINESTRING (-122.44629065136056 37.7352243224459, -122.44622387550059 37.73514064061719, -122.44606151009582 37.73501121502785, -122.44583448154924 37.73486261736613)",25,TERESITA BLVD,44.67,19.31,22.77,29.79,33.46
12516000,"LINESTRING (-122.44583448154924 37.73486261736613, -122.4453536365198 37.73454879373677)",25,TERESITA BLVD,12.53,2.93,18.6,28.38,32.91
12517000,"LINESTRING (-122.4453536365198 37.73454879373677, -122.44535030094598 37.73432218978377, -122.44538560958937 37.73424520780596, -122.44569518075178 37.73397076822148, -122.44578221901187 37.73385028833211)",25,TERESITA BLVD,44.67,19.31,22.77,29.79,33.46
12518000,"LINESTRING (-122.44578221901187 37.73385028833211, -122.44602278466188 37.733816974810615, -122.44618691301326 37.733824122307595, -122.44639241908223 37.73389368195554, -122.4465362726241 37.73399241342212)",25,TERESITA BLVD,44.67,19.31,22.77,29.79,33.46
12519000,"LINESTRING (-122.4465362726241 37.73399241342212, -122.44684922239153 37.73417681432003, -122.44704905779406 37.73425193882625, -122.44731888806493 37.73428306987575, -122.44833128953252 37.734279632980105)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12520000,"LINESTRING (-122.44833128953252 37.734279632980105, -122.44889315439009 37.73427693734581)",25,TERESITA BLVD,53.73,7.6,24.53,27.75,32.29
12386000,"LINESTRING (-122.46685949714336 37.74349086286303, -122.46774774405704 37.74341262248283)",25,TARAVAL ST,94,55.5,30.48,31.02,33.8
12382000,"LINESTRING (-122.46368599563952 37.74374940984558, -122.46473679875139 37.74365862553025)",25,TARAVAL ST,64.66,21.48,25.82,29.02,33.08
12276101,"LINESTRING (-122.49574937889072 37.76087401671471, -122.49581078522762 37.760761294969974, -122.49569300378357 37.759073114899955, -122.49561722364386 37.75900449737251)",35,SUNSET BLVD,26,7,32.28,38.54,42.71
12276201,"LINESTRING (-122.49574937889072 37.76087401671471, -122.49566923043781 37.760767519465716, -122.49555143705247 37.75907911333801, -122.49561722364386 37.75900449737251)",35,SUNSET BLVD,26,7,32.28,38.54,42.71
12277101,"LINESTRING (-122.49561722364386 37.75900449737251, -122.49568300251848 37.758929768014895, -122.49556266250691 37.757204815314, -122.49548683070252 37.75714024151586)",35,SUNSET BLVD,26,7,32.28,38.54,42.71
12277201,"LINESTRING (-122.49561722364386 37.75900449737251, -122.49554145231407 37.7589359923404, -122.49542111438485 37.7572110403961, -122.49548683070252 37.75714024151586)",35,SUNSET BLVD,26,7,32.28,38.54,42.71
12286101,"LINESTRING (-122.49444328435065 37.74222502748211, -122.49436246435265 37.74211856509456, -122.49424532947043 37.74044355981483, -122.49431259733035 37.740356324229)",35,SUNSET BLVD,34.5,9,33.5,38.45,42.56
12286201,"LINESTRING (-122.49444328435065 37.74222502748211, -122.4945087646495 37.742112116094624, -122.49439190444278 37.7404410789555, -122.49431259733035 37.740356324229)",35,SUNSET BLVD,34.5,9,33.5,38.45,42.56
12287101,"LINESTRING (-122.49431259733035 37.740356324229, -122.49423471173334 37.74029099768944, -122.49411806545788 37.73859710539447, -122.49418139913179 37.73849645301082)",35,SUNSET BLVD,34.5,9,33.5,38.45,42.56
12287201,"LINESTRING (-122.49431259733035 37.740356324229, -122.49438090624099 37.74028454345586, -122.49426064504561 37.7385946922549, -122.49418139913179 37.73849645301082)",35,SUNSET BLVD,34.5,9,33.5,38.45,42.56
12288101,"LINESTRING (-122.49418139913179 37.73849645301082, -122.49410165761229 37.73841094127486, -122.49398387335015 37.73671835915471, -122.49405381817897 37.736635087051184)",35,SUNSET BLVD,34.5,9,33.5,38.45,42.56
12288201,"LINESTRING (-122.49418139913179 37.73849645301082, -122.49424692768848 37.738402444356, -122.49413380401649 37.73671002315579, -122.49405381817897 37.736635087051184)",35,SUNSET BLVD,34.5,9,33.5,38.45,42.56
12267000,"LINESTRING (-122.41600027990437 37.711914556425356, -122.41673852522835 37.71211812739109, -122.41757733810954 37.71230218622345, -122.4180281374203 37.7123352706831, -122.41828342090774 37.71234914691969)",25,SUNNYDALE AVE,15.56,3.1,19.32,28.89,36.49
12199001,"LINESTRING (-122.40695698700237 37.78943368220262, -122.40713171596487 37.790368470378965)",0,STOCKTON ST,98,87.5,35.56,35.84,36.9
12200000,"LINESTRING (-122.40713171596487 37.790368470378965, -122.40719866010483 37.790693951809025)",0,STOCKTON ST,98,87.5,35.56,35.84,36.9
12201000,"LINESTRING (-122.40719866010483 37.790693951809025, -122.4073229288299 37.7912981349616)",0,STOCKTON ST,98,87.5,35.56,35.84,36.9
12202000,"LINESTRING (-122.4073229288299 37.7912981349616, -122.40751895074257 37.792251163710674)",0,STOCKTON ST,98,87.5,35.56,35.84,36.9
12203000,"LINESTRING (-122.40751895074257 37.792251163710674, -122.40761725944613 37.79272911367664)",0,STOCKTON ST,98,87.5,35.56,35.84,36.9
12225000,"LINESTRING (-122.40695698700237 37.78943368220262, -122.40714880508733 37.790366312279, -122.40734001687281 37.79129597413024, -122.40753604030955 37.79224900643399, -122.40772718648995 37.793178301746096)",0,STOCKTON TUNL,98,87.5,35.56,35.84,36.9
12106000,"LINESTRING (-122.4488494360301 37.72907259684092, -122.45113130644259 37.72906230811298)",0,STAPLES AVE,19.22,2.82,19.01,27.87,32.94
12112000,"LINESTRING (-122.45212262620957 37.749350776584514, -122.4518838551494 37.749455133784224, -122.45172741820141 37.74957776384573, -122.45161866665889 37.74975628849546, -122.45158814350364 37.74997025332834, -122.45158769095302 37.75124437210682)",0,STARVIEW WAY,64.13,25,25.75,29.37,33.09
12113000,"LINESTRING (-122.45158769095302 37.75124437210682, -122.4515803049967 37.75160771706171, -122.4514970679769 37.7519443510751, -122.45154459943295 37.752150218105314, -122.45168737084474 37.752299297785946)",0,STARVIEW WAY,64.13,25,25.75,29.37,33.09
12077000,"LINESTRING (-122.45584313016997 37.77994148744917, -122.45568432084188 37.779725827545434, -122.45557415997841 37.779476507300814, -122.45544207957789 37.77882754236063)",0,STANYAN BLVD,85.38,45.06,28.76,30.18,33.03
12078000,"LINESTRING (-122.45544207957789 37.77882754236063, -122.45521345553743 37.77770419515959, -122.45521694184832 37.77759927900117)",0,STANYAN BLVD,85.38,45.06,28.76,30.18,33.03
12097000,"LINESTRING (-122.45239988992107 37.76366948230313, -122.45223304304261 37.76284256130301)",25,STANYAN ST,48.5,9.5,24.3,27.98,32
12026000,"LINESTRING (-122.41702581508129 37.760367022775384, -122.41687248138003 37.758764228861914)",25,SOUTH VAN NESS AVE,67,19.5,26.22,28.53,32.26
12030000,"LINESTRING (-122.41641348910268 37.75396776973201, -122.41626551027281 37.75237278853237)",25,SOUTH VAN NESS AVE,69,18.5,26.38,28.63,33.08
12053000,"LINESTRING (-122.48816697023463 37.734074769968, -122.48811884604187 37.73336351435742)",0,SPRINGFIELD DR,34.6,9.6,20.59,28.74,33.26
12054000,"LINESTRING (-122.48811884604187 37.73336351435742, -122.48803526421293 37.73215996730671)",0,SPRINGFIELD DR,34.6,9.6,20.59,28.74,33.26
11992000,"LINESTRING (-122.48237185651821 37.766770185414586, -122.48260562136524 37.76673650410351, -122.48329168070433 37.766569362215755, -122.48356459499259 37.76654942908557, -122.48384625987104 37.76654688058846, -122.48415652726771 37.7665811060149, -122.48441791922396 37.766646834954585, -122.48462720691322 37.766726590606716, -122.48490692121707 37.76685775663841, -122.485223707471 37.766929126374784, -122.48535663848548 37.766942228227045, -122.4855995360244 37.76693594499801, -122.48583896883244 37.76690342169102, -122.48610242960622 37.766839810493046, -122.48632630112854 37.76674180082746, -122.48672393638047 37.76653128564755, -122.48703974027678 37.76635940381919, -122.48755908801603 37.76605259654955, -122.48785327122286 37.765898610475226, -122.48807167342459 37.76580288139957, -122.4882688687946 37.765740382996555, -122.48868886871453 37.7656434437274, -122.48935451975892 37.7655107807401, -122.4900198322452 37.76541912748469, -122.49042457281305 37.76539337023936, -122.49073715599506 37.76539409534543, -122.49100360220672 37.76540968346048)",25,MARTIN LUTHER KING JR DR,95,68.5,31.48,32.03,33.97
11996000,"LINESTRING (-122.50085701611215 37.76484590706106, -122.50280737576136 37.765199707636825, -122.50285122033398 37.7652218395854, -122.50411688820957 37.76552587434096)",25,MARTIN LUTHER KING JR DR,87,54.5,30.08,31.37,33.97
11961202,"LINESTRING (-122.50006255724425 37.73490489999271, -122.50049339104193 37.73510502393346, -122.50090187634807 37.73525277356798, -122.50109748320293 37.735206481262736)",35,SLOAT BLVD,47,13.5,34.45,38.7,42.93
11970000,"LINESTRING (-122.40755640506806 37.726599245981895, -122.4070564614048 37.72539994989487)",0,SOMERSET ST,17.72,1.83,19.35,27.6,32.77
11950101,"LINESTRING (-122.47156934115623 37.734706810838965, -122.47174814305927 37.73461845289046, -122.47234167181911 37.73460617258865)",35,SLOAT BLVD,52,13,34.75,38.59,43.35
11950102,"LINESTRING (-122.47234167181911 37.73460617258865, -122.4732272265603 37.734587991315756)",35,SLOAT BLVD,21,2.5,30.95,37.6,42
11950103,"LINESTRING (-122.4732272265603 37.734587991315756, -122.47411890599842 37.73456824710735)",35,SLOAT BLVD,21,2.5,30.95,37.6,42
11950104,"LINESTRING (-122.47411890599842 37.73456824710735, -122.4749341580247 37.73455032428911, -122.47510247010312 37.734625572338956)",35,SLOAT BLVD,21,2.5,30.95,37.6,42
11950201,"LINESTRING (-122.47156934115623 37.734706810838965, -122.4717552446798 37.73482238057675, -122.47263140716124 37.73479774596061)",35,SLOAT BLVD,52,13,34.75,38.59,43.35
11950203,"LINESTRING (-122.47263140716124 37.73479774596061, -122.47379988822887 37.734764880773085)",35,SLOAT BLVD,21,2.5,30.95,37.6,42
11950204,"LINESTRING (-122.47379988822887 37.734764880773085, -122.47494069783164 37.73473278321875, -122.47510247010312 37.734625572338956)",35,SLOAT BLVD,21,2.5,30.95,37.6,42
11902000,"LINESTRING (-122.42373998172697 37.72875993710349, -122.42266589884596 37.72882232306874)",0,SILVER AVE,76,25.5,27.2,29.01,32.98
11917000,"LINESTRING (-122.41139440354169 37.730607896290095, -122.41057199507428 37.73091940088383, -122.41050984242051 37.73093843497471)",0,SILVER AVE,76.5,26.5,27.28,28.93,32.57
11929000,"LINESTRING (-122.40285586584602 37.734073203834704, -122.40266489301932 37.734192414698704)",0,SILVER AVE,52.64,17.41,24.89,29.03,33.14
11930000,"LINESTRING (-122.40266489301932 37.734192414698704, -122.40220172421631 37.7344815373199)",0,SILVER AVE,52.64,17.41,24.89,29.03,33.14
11935000,"LINESTRING (-122.40035733577447 37.73558082185353, -122.39855590179268 37.73643307660435)",0,SILVER AVE,48.73,9.95,24.3,28.26,33.16
